A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,origin,control,rating,condition,awareness
-0.001468,-0.00129,3.16E-4,1.473E-4,2.763E-4,3.35E-4,1.649E-4,-1.235E-5,0.02842,-0.04385,-9.444E-5,1.643E-4,3.463E-4,3.321E-4,4.753E-5,1.492E-4,junk,junk,junk,junk,junk
-0.001513,-0.001149,2.913E-4,1.406E-4,2.305E-4,3.404E-4,1.05E-4,-7.96E-6,0.02789,-0.04329,-1.513E-4,1.558E-4,3.367E-4,3.225E-4,4.27E-6,1.479E-4,junk,junk,junk,junk,junk
-0.001857,-9.641E-4,2.859E-4,1.346E-4,2.147E-4,3.386E-4,8.084E-5,-1.317E-5,0.02818,-0.04327,-1.52E-4,1.512E-4,3.098E-4,3.172E-4,-7.82E-6,1.366E-4,junk,junk,junk,junk,junk
-0.001957,-9.15E-4,2.933E-4,1.321E-4,2.071E-4,3.284E-4,5.41E-5,-2.061E-5,0.02791,-0.04307,-1.667E-4,1.434E-4,2.981E-4,3.205E-4,-1.855E-5,1.378E-4,junk,junk,junk,junk,junk
-0.001606,-9.706E-4,2.819E-4,1.35E-4,2.026E-4,3.29E-4,4.902E-5,-3.706E-5,0.02755,-0.04275,-2.078E-4,1.509E-4,2.954E-4,3.139E-4,-5.119E-5,1.42E-4,junk,junk,junk,junk,junk
-0.001866,-8.22E-4,2.67E-4,1.386E-4,1.833E-4,3.293E-4,5.462E-5,-5.646E-5,0.02746,-0.04258,-2.59E-4,1.461E-4,2.743E-4,3.07E-4,-7.44E-5,1.355E-4,junk,junk,junk,junk,junk
-0.001214,-0.001067,2.555E-4,1.405E-4,1.638E-4,3.29E-4,3.094E-5,-6.419E-5,0.02725,-0.04259,-3.096E-4,1.384E-4,2.654E-4,2.919E-4,-1.176E-4,1.418E-4,junk,junk,junk,junk,junk
-0.001066,-0.001227,2.384E-4,1.435E-4,1.426E-4,3.191E-4,2.878E-5,-7.963E-5,0.02722,-0.0427,-3.696E-4,1.263E-4,2.28E-4,2.793E-4,-1.946E-4,1.495E-4,junk,junk,junk,junk,junk
-0.001223,-0.001293,2.156E-4,1.462E-4,1.055E-4,3.116E-4,-1.545E-5,-6.361E-5,0.02706,-0.04263,-4.499E-4,1.185E-4,1.643E-4,2.803E-4,-2.529E-4,1.555E-4,junk,junk,junk,junk,junk
-0.001203,-0.001389,1.731E-4,1.502E-4,6.008E-5,3.108E-4,-4.919E-5,-7.179E-5,0.02689,-0.0426,-5.476E-4,1.148E-4,1.075E-4,2.669E-4,-3.202E-4,1.517E-4,junk,junk,junk,junk,junk
