A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition,feedback1,feedback2
0.005751,7.906E-5,0.001949,2.461E-5,0.002167,7.833E-5,0.002261,3.492E-4,0.01063,0.01116,0.004539,0.001621,0.004127,0.001773,0.004372,0.00176,junk,junk,junk
0.007351,-1.504E-4,0.002463,2.345E-4,0.002315,3.089E-4,0.002351,3.362E-4,0.01398,0.0127,0.004989,0.001692,0.004767,0.001707,0.004682,0.001672,junk,junk,junk
0.008395,1.528E-4,0.003912,3.913E-4,0.003192,3.112E-4,0.002586,1.334E-4,0.01447,0.01422,0.0052,0.001972,0.004912,0.002109,0.005249,0.001987,junk,junk,junk
0.007701,4.313E-4,0.002872,3.948E-4,0.002379,3.225E-4,0.001908,1.211E-4,0.01494,0.01576,0.005955,0.00194,0.005398,0.002116,0.005441,0.002133,junk,junk,junk
0.006791,4.339E-4,0.002254,3.911E-4,0.001802,3.35E-4,0.00164,1.186E-4,0.01311,0.01651,0.005618,0.002064,0.005556,0.002036,0.005524,0.001925,junk,junk,junk
0.007727,4.492E-4,0.00341,4.301E-4,0.002655,2.972E-4,0.002233,1.377E-4,0.01436,0.01524,0.005748,0.00222,0.005447,0.002192,0.005491,0.002214,junk,junk,junk
0.007052,4.013E-4,0.002368,3.426E-4,0.001978,2.733E-4,0.001813,1.03E-4,0.01369,0.01698,0.005543,0.002147,0.005668,0.002334,0.005441,0.002201,junk,junk,junk
0.006064,4.254E-4,0.002118,3.577E-4,0.001579,2.665E-4,0.001682,7.969E-5,0.01343,0.01689,0.006287,0.002112,0.005734,0.002275,0.00593,0.002221,junk,junk,junk
0.006988,3.951E-4,0.002642,3.322E-4,0.002079,2.633E-4,0.001843,9.394E-5,0.01439,0.01681,0.005918,0.002238,0.005755,0.002356,0.005689,0.002175,junk,junk,junk
0.006098,1.632E-4,0.001426,1.348E-4,0.001338,1.902E-4,0.001553,1.64E-4,0.01748,0.01541,0.005551,0.002258,0.005783,0.002276,0.00555,0.002221,junk,junk,junk
0.005573,6.997E-5,0.001811,5.379E-5,0.001744,9.722E-5,0.002042,3.012E-4,0.01399,0.0155,0.006103,0.002089,0.005594,0.001913,0.005844,0.001987,junk,junk,junk
0.005956,-5.319E-5,0.001682,3.12E-7,0.001712,1.086E-4,0.001992,2.797E-4,0.01145,0.01563,0.004962,0.002108,0.005231,0.002105,0.004815,0.001962,junk,junk,junk
0.006417,-9.024E-5,0.001502,2.003E-4,0.001261,2.477E-4,0.001654,1.063E-4,0.0109,0.01302,0.004675,0.001836,0.004645,0.001653,0.004258,0.002003,junk,junk,junk
0.006963,3.326E-4,0.002868,3.739E-4,0.002023,2.374E-4,0.001647,-1.066E-5,0.01063,0.01099,0.003588,0.001405,0.003808,0.001487,0.00368,0.001347,junk,junk,junk
0.006334,5.751E-4,0.00217,3.723E-4,0.001524,2.274E-4,0.001303,-5.406E-5,0.007937,0.007471,0.002596,0.00105,0.002928,0.001139,0.002564,0.001006,junk,junk,junk
0.006238,5.312E-4,0.001996,4.145E-4,0.001218,2.488E-4,0.001251,-2.806E-5,0.003871,0.005052,0.001732,8.978E-4,0.001449,6.399E-4,0.001919,6.354E-4,junk,junk,junk
0.006432,5.896E-4,0.002405,3.953E-4,0.001599,2.278E-4,0.001331,-5.898E-5,0.002617,0.002759,0.001183,1.477E-4,8.908E-4,3.052E-4,9.361E-4,2.133E-4,junk,junk,junk
0.004717,2.843E-4,0.001075,6.493E-5,6.689E-4,1.096E-4,9.836E-4,-1.229E-5,-1.239E-4,8.775E-4,3.269E-4,1.598E-4,2.639E-4,2.82E-5,5.555E-4,1.149E-4,junk,junk,junk
