Uk1,YAxis,Uk2,PRbpm,SpO2,Time
150,48,6,62,97,2014-06-27 16:10:50.438443
150,49,6,62,97,2014-06-27 16:10:50.455624
150,50,6,62,97,2014-06-27 16:10:50.471849
150,52,6,62,97,2014-06-27 16:10:50.488554
150,52,6,62,97,2014-06-27 16:10:50.505574
150,53,6,62,97,2014-06-27 16:10:50.522028
150,53,6,62,97,2014-06-27 16:10:50.538825
150,53,6,62,97,2014-06-27 16:10:50.555734
150,53,6,62,97,2014-06-27 16:10:50.572385
150,53,6,62,97,2014-06-27 16:10:50.588978
150,52,6,62,97,2014-06-27 16:10:50.605884
150,51,6,62,97,2014-06-27 16:10:50.622120
150,51,6,62,97,2014-06-27 16:10:50.638965
150,50,6,62,97,2014-06-27 16:10:50.656045
150,50,6,62,97,2014-06-27 16:10:50.672427
150,50,6,62,97,2014-06-27 16:10:50.689068
150,49,6,62,97,2014-06-27 16:10:50.706031
150,49,6,62,97,2014-06-27 16:10:50.722362
213,48,6,62,97,2014-06-27 16:10:50.739208
213,55,6,62,97,2014-06-27 16:10:50.755960
149,54,6,62,97,2014-06-27 16:10:50.772632
149,52,6,62,97,2014-06-27 16:10:50.789565
149,51,6,62,97,2014-06-27 16:10:50.806094
149,50,6,62,97,2014-06-27 16:10:50.822507
149,49,6,62,97,2014-06-27 16:10:50.839043
149,48,6,62,97,2014-06-27 16:10:50.856120
149,47,5,62,97,2014-06-27 16:10:50.872533
149,46,5,62,97,2014-06-27 16:10:50.889245
149,44,5,62,97,2014-06-27 16:10:50.906010
149,42,5,62,97,2014-06-27 16:10:50.922218
149,40,5,62,97,2014-06-27 16:10:50.938807
149,38,4,62,97,2014-06-27 16:10:50.955798
149,36,4,62,97,2014-06-27 16:10:50.972335
149,34,4,62,97,2014-06-27 16:10:50.988850
149,33,4,62,97,2014-06-27 16:10:51.005753
149,32,4,62,97,2014-06-27 16:10:51.021993
149,31,3,62,97,2014-06-27 16:10:51.038715
149,30,3,62,97,2014-06-27 16:10:51.055580
149,29,3,62,97,2014-06-27 16:10:51.072132
149,29,3,62,97,2014-06-27 16:10:51.088731
149,28,3,62,97,2014-06-27 16:10:51.105560
149,27,3,62,97,2014-06-27 16:10:51.121821
149,27,3,62,97,2014-06-27 16:10:51.138608
149,27,3,62,97,2014-06-27 16:10:51.155490
149,26,3,62,97,2014-06-27 16:10:51.171969
149,26,3,62,97,2014-06-27 16:10:51.188568
149,26,3,62,97,2014-06-27 16:10:51.205386
149,26,3,62,97,2014-06-27 16:10:51.221668
149,26,3,62,97,2014-06-27 16:10:51.238468
149,26,3,62,97,2014-06-27 16:10:51.255272
149,25,3,62,97,2014-06-27 16:10:51.271740
149,25,3,62,97,2014-06-27 16:10:51.288414
149,25,3,62,97,2014-06-27 16:10:51.305208
149,25,3,62,97,2014-06-27 16:10:51.321561
149,24,3,62,97,2014-06-27 16:10:51.338151
149,24,3,62,97,2014-06-27 16:10:51.355241
149,24,3,62,97,2014-06-27 16:10:51.371372
149,24,3,62,97,2014-06-27 16:10:51.388205
149,24,3,62,97,2014-06-27 16:10:51.404956
149,26,3,62,97,2014-06-27 16:10:51.421397
149,28,3,62,97,2014-06-27 16:10:51.437948
149,31,3,62,97,2014-06-27 16:10:51.454837
149,35,4,62,97,2014-06-27 16:10:51.471129
149,39,4,62,97,2014-06-27 16:10:51.487992
149,42,5,62,97,2014-06-27 16:10:51.504678
149,46,5,62,97,2014-06-27 16:10:51.521343
149,49,6,62,97,2014-06-27 16:10:51.537986
149,53,6,62,97,2014-06-27 16:10:51.554945
149,55,6,62,97,2014-06-27 16:10:51.571443
149,57,7,62,97,2014-06-27 16:10:51.587843
149,59,7,62,97,2014-06-27 16:10:51.604849
149,60,7,62,97,2014-06-27 16:10:51.621554
149,60,7,62,97,2014-06-27 16:10:51.638014
149,59,7,62,97,2014-06-27 16:10:51.655032
149,59,7,62,97,2014-06-27 16:10:51.671338
149,58,7,62,97,2014-06-27 16:10:51.688102
149,57,7,62,97,2014-06-27 16:10:51.705080
149,57,7,62,97,2014-06-27 16:10:51.721552
149,56,7,62,97,2014-06-27 16:10:51.738262
149,56,7,62,97,2014-06-27 16:10:51.755376
149,56,7,62,97,2014-06-27 16:10:51.771576
149,55,6,62,97,2014-06-27 16:10:51.788407
149,54,6,62,97,2014-06-27 16:10:51.805137
213,53,6,62,97,2014-06-27 16:10:51.821968
213,52,6,62,97,2014-06-27 16:10:51.838436
149,51,6,62,97,2014-06-27 16:10:51.855461
149,49,6,62,97,2014-06-27 16:10:51.872114
149,47,5,62,97,2014-06-27 16:10:51.888671
149,46,5,62,97,2014-06-27 16:10:51.905605
149,45,5,62,97,2014-06-27 16:10:51.921932
149,43,5,62,97,2014-06-27 16:10:51.938834
149,42,5,62,97,2014-06-27 16:10:51.955706
149,40,5,62,97,2014-06-27 16:10:51.972026
149,40,5,62,97,2014-06-27 16:10:51.988866
149,38,4,62,97,2014-06-27 16:10:52.005596
149,37,4,62,97,2014-06-27 16:10:52.022319
149,36,4,62,97,2014-06-27 16:10:52.038698
149,35,4,62,97,2014-06-27 16:10:52.055889
149,34,4,62,97,2014-06-27 16:10:52.072442
149,33,4,62,97,2014-06-27 16:10:52.088847
149,32,4,62,97,2014-06-27 16:10:52.105964
149,32,4,62,97,2014-06-27 16:10:52.122226
149,31,3,62,97,2014-06-27 16:10:52.139114
149,30,3,62,97,2014-06-27 16:10:52.156067
